url	Search Course 2_link	Search Course 3	Search Course 3_link	Badge Content Text	Badge Content Link	Badge Content Link_link	Search Course 4	Search Course 5	Search Course 6	Search Course 7	Search Course 8	Search Course 9	Search Course 12	Search Course 13	Search Course 14	Search Course 14_link
https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=1	https://www.udemy.com/r-analytics/	R Programming: Advanced Analytics In R For Data Science	https://www.udemy.com/r-analytics/				Kirill Eremenko• Data Scientist & Forex Systems Expert	"Take Your R & R Studio Skills To The Next Level. Data Analytics, Data Science, Statistical Analysis in Business, GGPlot2"	47 lectures	6 hours	Intermediate Level	English	$200	4.7	"(1,302 ratings)"	https://www.udemy.com/r-analytics/#reviews
https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=1	https://www.udemy.com/the-complete-sql-bootcamp/	The Complete SQL Bootcamp	https://www.udemy.com/the-complete-sql-bootcamp/	in SQL | Data & Analytics	SQL	https://www.udemy.com/topic/sql/	Jose Portilla• Data Scientist	Become an expert at SQL!	88 lectures	8.5 hours	All Levels	English	$195	4.6	"(9,888 ratings)"	https://www.udemy.com/the-complete-sql-bootcamp/#reviews
https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=1	https://www.udemy.com/tableau10/	Tableau 10 A-Z: Hands-On Tableau Training For Data Science!	https://www.udemy.com/tableau10/	in Tableau | Data & Analytics	Tableau	https://www.udemy.com/topic/tableau/	Kirill Eremenko• Data Scientist & Forex Systems Expert	Learn Tableau 10 for Data Science step-by-step. Real-Life Data Analytics Exercises & Quizzes Included. Learn by doing!	66 lectures	7.5 hours	All Levels	English	$200	4.6	"(6,716 ratings)"	https://www.udemy.com/tableau10/#reviews
https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=1	https://www.udemy.com/r-programming/	R Programming A-Z™: R For Data Science With Real Exercises!	https://www.udemy.com/r-programming/	in R | Data & Analytics	R	https://www.udemy.com/topic/r-programming-language/	Kirill Eremenko• Data Scientist & Forex Systems Expert	"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2"	76 lectures	10.5 hours	All Levels	English	$200	4.6	"(6,713 ratings)"	https://www.udemy.com/r-programming/#reviews
https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=1	https://www.udemy.com/tableau10-advanced/	Tableau 10 Advanced Training: Master Tableau in Data Science	https://www.udemy.com/tableau10-advanced/				Kirill Eremenko• Data Scientist & Forex Systems Expert	Master Tableau 10 in Data Science by solving Real-Life Analytics Problems. Learn Visualisation and Data Mining by doing!	60 lectures	9 hours	Intermediate Level	English	$200	4.6	"(1,651 ratings)"	https://www.udemy.com/tableau10-advanced/#reviews
https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=1	https://www.udemy.com/sql-for-newbs/	SQL for Newbs: Data Analysis for Beginners	https://www.udemy.com/sql-for-newbs/	in Data Analysis | Data & Analytics	Data Analysis	https://www.udemy.com/topic/data-analysis/	A Course You'll Actually Finish• A Course Series	A course you'll actually finish! This SQL course taught by a Product Manager and Senior Marketing Data Analyst	35 lectures	3.5 hours	All Levels	English	$200	4.4	"(4,647 ratings)"	https://www.udemy.com/sql-for-newbs/#reviews
https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=1	https://www.udemy.com/artificial-intelligence-reinforcement-learning-in-python/	Artificial Intelligence: Reinforcement Learning in Python	https://www.udemy.com/artificial-intelligence-reinforcement-learning-in-python/				Lazy Programmer Inc.• Data scientist and big data engineer	"Complete guide to artificial intelligence and machine learning, prep for deep reinforcement learning"	71 lectures	5.5 hours	Intermediate Level	English	$180	4.6	(768 ratings)	https://www.udemy.com/artificial-intelligence-reinforcement-learning-in-python/#reviews
https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=1	https://www.udemy.com/data-science-deep-learning-in-python/	Data Science: Deep Learning in Python	https://www.udemy.com/data-science-deep-learning-in-python/				Lazy Programmer Inc.• Data scientist and big data engineer	"A guide for writing your own neural network in Python and Numpy, and how to do it in Google's TensorFlow."	64 lectures	7 hours	Intermediate Level	English	$120	4.6	"(2,347 ratings)"	https://www.udemy.com/data-science-deep-learning-in-python/#reviews
https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=1	https://www.udemy.com/apache-spark-with-scala-hands-on-with-big-data/	Apache Spark 2.0 with Scala - Hands On with Big Data!	https://www.udemy.com/apache-spark-with-scala-hands-on-with-big-data/	in Apache Spark | Data & Analytics	Apache Spark	https://www.udemy.com/topic/apache-spark/	Sundog Education by Frank Kane• Training the World in Big Data and Machine Learning	"Dive right in with 20+ hands-on examples of analyzing large data sets with Apache Spark, on your desktop or on Hadoop!"	53 lectures	7.5 hours	All Levels	English	$100	4.5	"(2,853 ratings)"	https://www.udemy.com/apache-spark-with-scala-hands-on-with-big-data/#reviews
https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=1	https://www.udemy.com/natural-language-processing-with-deep-learning-in-python/	Natural Language Processing with Deep Learning in Python	https://www.udemy.com/natural-language-processing-with-deep-learning-in-python/	in Natural Language Processing | Data & Analytics	Natural Language Processing	https://www.udemy.com/topic/natural-language-processing/	Lazy Programmer Inc.• Data scientist and big data engineer	"Complete guide on deriving and implementing word2vec, GLoVe, word embeddings, and sentiment analysis with recursive nets"	45 lectures	5 hours	Expert Level	English	$120	4.6	(626 ratings)	https://www.udemy.com/natural-language-processing-with-deep-learning-in-python/#reviews
