"url","Search Course 2","Search Course 2_alt","Search Course 2_link","Search Course 3","Search Course 3_link","Badge Content Text","Badge Content Link","Badge Content Link_link","Search Course 4","Search Course 4_link","Search Course 5","Search Course 6","Search Course 7","Search Course 8","Search Course 9","Search Course 10","React Text","Search Course 11","Search Course 12","Search Course 13","Search Course 13_link","Search Course 14","Search Course 14_link"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=1","https://udemy-images.udemy.com/course/304x171/860148_4f31.jpg","course image","https://www.udemy.com/r-analytics/","R Programming: Advanced Analytics In R For Data Science","https://www.udemy.com/r-analytics/","","","","Kirill Eremenko• Data Scientist & Forex Systems Expert","https://www.udemy.com/r-analytics/#instructor","Take Your R & R Studio Skills To The Next Level. Data Analytics, Data Science, Statistical Analysis in Business, GGPlot2","47 lectures","6 hours","Intermediate Level","English","Updated Invalid date","Updated Invalid date","Updated Invalid date","$200","4.7","https://www.udemy.com/r-analytics/#reviews","(1,302 ratings)","https://www.udemy.com/r-analytics/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=1","https://udemy-images.udemy.com/course/304x171/762616_7693_3.jpg","course image","https://www.udemy.com/the-complete-sql-bootcamp/","The Complete SQL Bootcamp","https://www.udemy.com/the-complete-sql-bootcamp/","in SQL | Data & Analytics","SQL","https://www.udemy.com/topic/sql/","Jose Portilla• Data Scientist","https://www.udemy.com/the-complete-sql-bootcamp/#instructor","Become an expert at SQL!","88 lectures","8.5 hours","All Levels","English","Updated Invalid date","Updated Invalid date","Updated Invalid date","$195","4.6","https://www.udemy.com/the-complete-sql-bootcamp/#reviews","(9,888 ratings)","https://www.udemy.com/the-complete-sql-bootcamp/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=1","https://udemy-images.udemy.com/course/304x171/937678_abd2.jpg","course image","https://www.udemy.com/tableau10/","Tableau 10 A-Z: Hands-On Tableau Training For Data Science!","https://www.udemy.com/tableau10/","in Tableau | Data & Analytics","Tableau","https://www.udemy.com/topic/tableau/","Kirill Eremenko• Data Scientist & Forex Systems Expert","https://www.udemy.com/tableau10/#instructor","Learn Tableau 10 for Data Science step-by-step. Real-Life Data Analytics Exercises & Quizzes Included. Learn by doing!","66 lectures","7.5 hours","All Levels","English","Updated Invalid date","Updated Invalid date","Updated Invalid date","$200","4.6","https://www.udemy.com/tableau10/#reviews","(6,716 ratings)","https://www.udemy.com/tableau10/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=1","https://udemy-images.udemy.com/course/304x171/765242_2578.jpg","course image","https://www.udemy.com/r-programming/","R Programming A-Z™: R For Data Science With Real Exercises!","https://www.udemy.com/r-programming/","in R | Data & Analytics","R","https://www.udemy.com/topic/r-programming-language/","Kirill Eremenko• Data Scientist & Forex Systems Expert","https://www.udemy.com/r-programming/#instructor","Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2","76 lectures","10.5 hours","All Levels","English","Updated Invalid date","Updated Invalid date","Updated Invalid date","$200","4.6","https://www.udemy.com/r-programming/#reviews","(6,713 ratings)","https://www.udemy.com/r-programming/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=1","https://udemy-images.udemy.com/course/304x171/946194_028d.jpg","course image","https://www.udemy.com/tableau10-advanced/","Tableau 10 Advanced Training: Master Tableau in Data Science","https://www.udemy.com/tableau10-advanced/","","","","Kirill Eremenko• Data Scientist & Forex Systems Expert","https://www.udemy.com/tableau10-advanced/#instructor","Master Tableau 10 in Data Science by solving Real-Life Analytics Problems. Learn Visualisation and Data Mining by doing!","60 lectures","9 hours","Intermediate Level","English","Updated Invalid date","Updated Invalid date","Updated Invalid date","$200","4.6","https://www.udemy.com/tableau10-advanced/#reviews","(1,651 ratings)","https://www.udemy.com/tableau10-advanced/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=1","https://udemy-images.udemy.com/course/304x171/203556_5ff1_3.jpg","course image","https://www.udemy.com/sql-for-newbs/","SQL for Newbs: Data Analysis for Beginners","https://www.udemy.com/sql-for-newbs/","in Data Analysis | Data & Analytics","Data Analysis","https://www.udemy.com/topic/data-analysis/","A Course You'll Actually Finish• A Course Series","https://www.udemy.com/sql-for-newbs/#instructor","A course you'll actually finish! This SQL course taught by a Product Manager and Senior Marketing Data Analyst","35 lectures","3.5 hours","All Levels","English","Updated Invalid date","Updated Invalid date","Updated Invalid date","$200","4.4","https://www.udemy.com/sql-for-newbs/#reviews","(4,647 ratings)","https://www.udemy.com/sql-for-newbs/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=1","https://udemy-images.udemy.com/course/304x171/1080408_2645_3.jpg","course image","https://www.udemy.com/artificial-intelligence-reinforcement-learning-in-python/","Artificial Intelligence: Reinforcement Learning in Python","https://www.udemy.com/artificial-intelligence-reinforcement-learning-in-python/","","","","Lazy Programmer Inc.• Data scientist and big data engineer","https://www.udemy.com/artificial-intelligence-reinforcement-learning-in-python/#instructor","Complete guide to artificial intelligence and machine learning, prep for deep reinforcement learning","71 lectures","5.5 hours","Intermediate Level","English","Updated Invalid date","Updated Invalid date","Updated Invalid date","$180","4.6","https://www.udemy.com/artificial-intelligence-reinforcement-learning-in-python/#reviews","(768 ratings)","https://www.udemy.com/artificial-intelligence-reinforcement-learning-in-python/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=1","https://udemy-images.udemy.com/course/304x171/713104_d4cb.jpg","course image","https://www.udemy.com/data-science-deep-learning-in-python/","Data Science: Deep Learning in Python","https://www.udemy.com/data-science-deep-learning-in-python/","","","","Lazy Programmer Inc.• Data scientist and big data engineer","https://www.udemy.com/data-science-deep-learning-in-python/#instructor","A guide for writing your own neural network in Python and Numpy, and how to do it in Google's TensorFlow.","64 lectures","7 hours","Intermediate Level","English","Updated Invalid date","Updated Invalid date","Updated Invalid date","$120","4.6","https://www.udemy.com/data-science-deep-learning-in-python/#reviews","(2,347 ratings)","https://www.udemy.com/data-science-deep-learning-in-python/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=1","https://udemy-images.udemy.com/course/304x171/892806_514e_2.jpg","course image","https://www.udemy.com/apache-spark-with-scala-hands-on-with-big-data/","Apache Spark 2.0 with Scala - Hands On with Big Data!","https://www.udemy.com/apache-spark-with-scala-hands-on-with-big-data/","in Apache Spark | Data & Analytics","Apache Spark","https://www.udemy.com/topic/apache-spark/","Sundog Education by Frank Kane• Training the World in Big Data and Machine Learning","https://www.udemy.com/apache-spark-with-scala-hands-on-with-big-data/#instructor","Dive right in with 20+ hands-on examples of analyzing large data sets with Apache Spark, on your desktop or on Hadoop!","53 lectures","7.5 hours","All Levels","English","Updated Invalid date","Updated Invalid date","Updated Invalid date","$100","4.5","https://www.udemy.com/apache-spark-with-scala-hands-on-with-big-data/#reviews","(2,853 ratings)","https://www.udemy.com/apache-spark-with-scala-hands-on-with-big-data/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=1","https://udemy-images.udemy.com/course/304x171/918390_02a6.jpg","course image","https://www.udemy.com/natural-language-processing-with-deep-learning-in-python/","Natural Language Processing with Deep Learning in Python","https://www.udemy.com/natural-language-processing-with-deep-learning-in-python/","in Natural Language Processing | Data & Analytics","Natural Language Processing","https://www.udemy.com/topic/natural-language-processing/","Lazy Programmer Inc.• Data scientist and big data engineer","https://www.udemy.com/natural-language-processing-with-deep-learning-in-python/#instructor","Complete guide on deriving and implementing word2vec, GLoVe, word embeddings, and sentiment analysis with recursive nets","45 lectures","5 hours","Expert Level","English","Updated Invalid date","Updated Invalid date","Updated Invalid date","$120","4.6","https://www.udemy.com/natural-language-processing-with-deep-learning-in-python/#reviews","(626 ratings)","https://www.udemy.com/natural-language-processing-with-deep-learning-in-python/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=1","https://udemy-images.udemy.com/course/304x171/913448_e6e2.jpg","course image","https://www.udemy.com/python-coding/","Python A-Z™: Python For Data Science With Real Exercises!","https://www.udemy.com/python-coding/","","","","Kirill Eremenko• Data Scientist & Forex Systems Expert","https://www.udemy.com/python-coding/#instructor","Programming In Python For Data Analytics And Data Science. Learn Statistical Analysis, Data Mining And Visualization","68 lectures","11 hours","All Levels","English","Updated Invalid date","Updated Invalid date","Updated Invalid date","$200","4.6","https://www.udemy.com/python-coding/#reviews","(2,600 ratings)","https://www.udemy.com/python-coding/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=1","https://udemy-images.udemy.com/course/304x171/1153742_e649.jpg","course image","https://www.udemy.com/deep-reinforcement-learning-in-python/","Advanced AI: Deep Reinforcement Learning in Python","https://www.udemy.com/deep-reinforcement-learning-in-python/","","","","Lazy Programmer Inc.• Data scientist and big data engineer","https://www.udemy.com/deep-reinforcement-learning-in-python/#instructor","The Complete Guide to Mastering Artificial Intelligence using Deep Learning and Neural Networks","52 lectures","5 hours","Expert Level","English [Auto-generated]","Updated Invalid date","Updated Invalid date","Updated Invalid date","$180","4.6","https://www.udemy.com/deep-reinforcement-learning-in-python/#reviews","(264 ratings)","https://www.udemy.com/deep-reinforcement-learning-in-python/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=2","https://udemy-images.udemy.com/course/304x171/821726_8071.jpg","course image","https://www.udemy.com/data-science-and-machine-learning-bootcamp-with-r/","Data Science and Machine Learning Bootcamp with R","https://www.udemy.com/data-science-and-machine-learning-bootcamp-with-r/","","","","Jose Portilla• Data Scientist","https://www.udemy.com/data-science-and-machine-learning-bootcamp-with-r/#instructor","Learn how to use the R programming language for data science and machine learning and data visualization!","127 lectures","18 hours","All Levels","English","Updated Invalid date","Updated Invalid date","Updated Invalid date","$195","4.6","https://www.udemy.com/data-science-and-machine-learning-bootcamp-with-r/#reviews","(2,718 ratings)","https://www.udemy.com/data-science-and-machine-learning-bootcamp-with-r/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=2","https://udemy-images.udemy.com/course/304x171/807904_7108.jpg","course image","https://www.udemy.com/deep-learning-convolutional-neural-networks-theano-tensorflow/","Deep Learning: Convolutional Neural Networks in Python","https://www.udemy.com/deep-learning-convolutional-neural-networks-theano-tensorflow/","","","","Lazy Programmer Inc.• Data scientist and big data engineer","https://www.udemy.com/deep-learning-convolutional-neural-networks-theano-tensorflow/#instructor","Computer Vision and Data Science and Machine Learning combined! In Theano and TensorFlow","33 lectures","4 hours","Expert Level","English","Updated Invalid date","Updated Invalid date","Updated Invalid date","$120","4.6","https://www.udemy.com/deep-learning-convolutional-neural-networks-theano-tensorflow/#reviews","(654 ratings)","https://www.udemy.com/deep-learning-convolutional-neural-networks-theano-tensorflow/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=2","https://udemy-images.udemy.com/course/304x171/1011712_a062.jpg","course image","https://www.udemy.com/bayesian-machine-learning-in-python-ab-testing/","Bayesian Machine Learning in Python: A/B Testing","https://www.udemy.com/bayesian-machine-learning-in-python-ab-testing/","in A/B Testing | Data & Analytics","A/B Testing","https://www.udemy.com/topic/ab-testing/","Lazy Programmer Inc.• Data scientist and big data engineer","https://www.udemy.com/bayesian-machine-learning-in-python-ab-testing/#instructor","Data Science, Machine Learning, and Data Analytics Techniques for Marketing, Digital Media, Online Advertising, and More","40 lectures","3.5 hours","All Levels","English [Auto-generated]","Updated Invalid date","Updated Invalid date","Updated Invalid date","$120","4.6","https://www.udemy.com/bayesian-machine-learning-in-python-ab-testing/#reviews","(460 ratings)","https://www.udemy.com/bayesian-machine-learning-in-python-ab-testing/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=2","https://udemy-images.udemy.com/course/304x171/1175200_2723.jpg","course image","https://www.udemy.com/data-statistics/","Statistics for Business Analytics A-Z™","https://www.udemy.com/data-statistics/","in Business Analytics | Data & Analytics","Business Analytics","https://www.udemy.com/topic/business-analytics/","Kirill Eremenko• Data Scientist & Forex Systems Expert","https://www.udemy.com/data-statistics/#instructor","Learn The Core Stats For A Data Science Career. Master Statistical Significance, Confidence Intervals And Much More!","42 lectures","7 hours","All Levels","English [Auto-generated]","Updated Invalid date","Updated Invalid date","Updated Invalid date","$200","4.4","https://www.udemy.com/data-statistics/#reviews","(952 ratings)","https://www.udemy.com/data-statistics/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=2","https://udemy-images.udemy.com/course/304x171/887814_cf2e_2.jpg","course image","https://www.udemy.com/deep-learning-recurrent-neural-networks-in-python/","Deep Learning: Recurrent Neural Networks in Python","https://www.udemy.com/deep-learning-recurrent-neural-networks-in-python/","","","","Lazy Programmer Inc.• Data scientist and big data engineer","https://www.udemy.com/deep-learning-recurrent-neural-networks-in-python/#instructor","GRU, LSTM, + more modern deep learning, machine learning, and data science for sequences","39 lectures","5 hours","All Levels","English [Auto-generated]","Updated Invalid date","Updated Invalid date","Updated Invalid date","$120","4.6","https://www.udemy.com/deep-learning-recurrent-neural-networks-in-python/#reviews","(641 ratings)","https://www.udemy.com/deep-learning-recurrent-neural-networks-in-python/#reviews"
