"_cached_page_id","_template","_type","best_seller","captions","course_name","current_price","field1","hours_video","hours_video_precise","language","last_updated","num_articles","num_lectures","num_ratings","original_price","rating","students_enrolled","supplemental_resources","url"
"4096e0d5794c8798c6941a2bd0ae098b990f3469","7881-4efd-9c9f","Computer Vision A-Z Learn OpenCV GANs and Cuttin","Best Seller","English [Auto-generated]","Artificial Intelligence A-Z™: Learn How To Build An AI","Current price: 10 €","/artificial-intelligence-az,/artificial-intelligence-az,/artificial-intelligence-az","16.5 hours on-demand video","16:42:26","English","Last updated 11/2017","15 Articles","115 Lectures","4.4 (1,805 ratings) Instead of using a simple lifetime average, Udemy calculates a course's star rating by considering a number of different factors such as the number of ratings, the age of ratings, and the likelihood of fraudulent ratings.","Original price: 200 €","4.4","23,467 students enrolled","Full lifetime access","https://www.udemy.com/artificial-intelligence-az/"
"7afd82a064891f84d800f4ef280b92e20fb8e4e4","7881-4efd-9c9f","Computer Vision A-Z Learn OpenCV GANs and Cuttin","","English","Data Science: Natural Language Processing (NLP) in Python","Current price: 10 €","/data-science-natural-language-processing-in-python","2.5 hours on-demand video","02:21:58","English","Last updated 11/2017","Full lifetime access","23 Lectures","4.6 (1,237 ratings) Instead of using a simple lifetime average, Udemy calculates a course's star rating by considering a number of different factors such as the number of ratings, the age of ratings, and the likelihood of fraudulent ratings.","Original price: 120 €","","8,001 students enrolled","Access on mobile and TV","https://www.udemy.com/data-science-natural-language-processing-in-python/"
"87485205e9f4364426b00f17c743e0c482288806","7881-4efd-9c9f","Computer Vision A-Z Learn OpenCV GANs and Cuttin","Best Seller","English [Auto-generated]","Computer Vision A-Z™: Learn OpenCV, GANs and Cutting Edge AI","Current price: 10 €","/computer-vision-a-z,/computer-vision-a-z,/computer-vision-a-z","11 hours on-demand video","10:56:18","English","Last updated 10/2017","5 Articles","75 Lectures","4.6 (238 ratings) Instead of using a simple lifetime average, Udemy calculates a course's star rating by considering a number of different factors such as the number of ratings, the age of ratings, and the likelihood of fraudulent ratings.","Original price: 200 €","4.6","3,463 students enrolled","4 Supplemental Resources","https://www.udemy.com/computer-vision-a-z/"
"237ff8f7403d0a99ddd8778eb235efe03bb0d5d8","7881-4efd-9c9f","Computer Vision A-Z Learn OpenCV GANs and Cuttin","Best Seller","English","Taming Big Data with MapReduce and Hadoop - Hands On!","Current price: 10 €","/taming-big-data-with-mapreduce-and-hadoop,/taming-big-data-with-mapreduce-and-hadoop","5 hours on-demand video","05:00:35","English","Last updated 5/2017","1 Article","52 Lectures","4.5 (1,541 ratings) Instead of using a simple lifetime average, Udemy calculates a course's star rating by considering a number of different factors such as the number of ratings, the age of ratings, and the likelihood of fraudulent ratings.","Original price: 80 €","4.5","12,981 students enrolled","Full lifetime access","https://www.udemy.com/taming-big-data-with-mapreduce-and-hadoop/"
"b3200f6355c3999276904906685d038bdb423746","7881-4efd-9c9f","Computer Vision A-Z Learn OpenCV GANs and Cuttin","Best Seller","English [Auto-generated]","SQL & Database Design A-Z™: Learn MS SQL Server + PostgreSQL","Current price: 10 €","/sqldatabases,/sqldatabases,/sqldatabases","12.5 hours on-demand video","12:29:34","English","Last updated 3/2017","1 Article","98 Lectures","4.4 (563 ratings) Instead of using a simple lifetime average, Udemy calculates a course's star rating by considering a number of different factors such as the number of ratings, the age of ratings, and the likelihood of fraudulent ratings.","Original price: 200 €","4.4","5,545 students enrolled","Full lifetime access","https://www.udemy.com/sqldatabases/"
"206e6fe549bd51ac85a7a0050d275f2eda841491","7881-4efd-9c9f","Computer Vision A-Z Learn OpenCV GANs and Cuttin","","English [Auto-generated]","Unsupervised Machine Learning Hidden Markov Models in Python","Current price: 10 €","/unsupervised-machine-learning-hidden-markov-models-in-python","5.5 hours on-demand video","05:43:32","English","Last updated 11/2017","Full lifetime access","49 Lectures","4.6 (513 ratings) Instead of using a simple lifetime average, Udemy calculates a course's star rating by considering a number of different factors such as the number of ratings, the age of ratings, and the likelihood of fraudulent ratings.","Original price: 120 €","","7,402 students enrolled","Access on mobile and TV","https://www.udemy.com/unsupervised-machine-learning-hidden-markov-models-in-python/"
"ccd4525df237f9710ac5e87048731ecfcc2ad5aa","7881-4efd-9c9f","Computer Vision A-Z Learn OpenCV GANs and Cuttin","Best Seller","English [Auto-generated]","Tableau Expert: Top Visualization Techniques in Tableau 10","Current price: 10 €","/mastering-top-visualization-techniques-in-tableau,/mastering-top-visualization-techniques-in-tableau,/mastering-top-visualization-techniques-in-tableau,/mastering-top-visualization-techniques-in-tableau","5.5 hours on-demand video","05:36:30","English","Last updated 10/2017","14 Supplemental Resources","67 Lectures","4.4 (102 ratings) Instead of using a simple lifetime average, Udemy calculates a course's star rating by considering a number of different factors such as the number of ratings, the age of ratings, and the likelihood of fraudulent ratings.","Original price: 200 €","4.4","1,765 students enrolled","Full lifetime access","https://www.udemy.com/mastering-top-visualization-techniques-in-tableau/"
"92eae99b9700b79e284c35abb6dae42cc80c002d","7881-4efd-9c9f","Computer Vision A-Z Learn OpenCV GANs and Cuttin","","English [Auto-generated]","Unsupervised Deep Learning in Python","Current price: 10 €","/unsupervised-deep-learning-in-python","4 hours on-demand video","04:05:54","English","Last updated 11/2017","Full lifetime access","40 Lectures","4.6 (364 ratings) Instead of using a simple lifetime average, Udemy calculates a course's star rating by considering a number of different factors such as the number of ratings, the age of ratings, and the likelihood of fraudulent ratings.","Original price: 120 €","","7,005 students enrolled","Access on mobile and TV","https://www.udemy.com/unsupervised-deep-learning-in-python/"
"92e7379b04fbb146551499fd05f04b52cfe85f82","7881-4efd-9c9f","Computer Vision A-Z Learn OpenCV GANs and Cuttin","Best Seller","English [Auto-generated]","Modern Deep Learning in Python","Current price: 10 €","/data-science-deep-learning-in-theano-tensorflow","6 hours on-demand video","06:04:36","English","Last updated 11/2017","Full lifetime access","60 Lectures","4.6 (716 ratings) Instead of using a simple lifetime average, Udemy calculates a course's star rating by considering a number of different factors such as the number of ratings, the age of ratings, and the likelihood of fraudulent ratings.","Original price: 120 €","4.6","10,227 students enrolled","Access on mobile and TV","https://www.udemy.com/data-science-deep-learning-in-theano-tensorflow/"
"869ef41f3b2a20937b92e87c6f7f74b057516cdf","7881-4efd-9c9f","Computer Vision A-Z Learn OpenCV GANs and Cuttin","Best Seller","English [Auto-generated]","Deep Learning A-Z™: Hands-On Artificial Neural Networks","Current price: 10 €","/deeplearning,/deeplearning,/deeplearning","23 hours on-demand video","23:14:30","English","Last updated 11/2017","22 Articles","179 Lectures","4.5 (5,159 ratings) Instead of using a simple lifetime average, Udemy calculates a course's star rating by considering a number of different factors such as the number of ratings, the age of ratings, and the likelihood of fraudulent ratings.","Original price: 200 €","4.5","46,197 students enrolled","Full lifetime access","https://www.udemy.com/deeplearning/"
