"url","teacher","teacher_link","top_responder","avg_star_rating","total_reviews","total_students","total_courses"
"https://www.udemy.com/r-analytics/","Kirill Eremenko","https://www.udemy.com/user/kirilleremenko/","Top-responder","4.5","69120","278815","33"
"https://www.udemy.com/r-analytics/","SuperDataScience Team","https://www.udemy.com/user/superdatascience-team/","Top-responder","4.5","62181","252200","22"
"https://www.udemy.com/the-complete-sql-bootcamp/","Jose Portilla","https://www.udemy.com/user/joseporitlla/","Top-responder","4.5","73059","327921","14"
"https://www.udemy.com/tableau10/","Kirill Eremenko","https://www.udemy.com/user/kirilleremenko/","","4.5","69120","278853","33"
"https://www.udemy.com/tableau10/","SuperDataScience Team","https://www.udemy.com/user/superdatascience-team/","","4.5","62181","252236","22"
"https://www.udemy.com/r-programming/","Kirill Eremenko","https://www.udemy.com/user/kirilleremenko/","","4.5","69120","278873","33"
"https://www.udemy.com/r-programming/","SuperDataScience Team","https://www.udemy.com/user/superdatascience-team/","","4.5","62181","252256","22"
"https://www.udemy.com/tableau10-advanced/","Kirill Eremenko","https://www.udemy.com/user/kirilleremenko/","","4.5","69120","278884","33"
"https://www.udemy.com/tableau10-advanced/","SuperDataScience Team","https://www.udemy.com/user/superdatascience-team/","","4.5","62181","252267","22"
"https://www.udemy.com/sql-for-newbs/","A Course You'll Actually Finish","https://www.udemy.com/user/acourseyoullactuallyfinish/","","4.4","4675","32539","1"
"https://www.udemy.com/sql-for-newbs/","David Kim","https://www.udemy.com/user/davidkim10/","","4.4","4675","32539","1"
"https://www.udemy.com/sql-for-newbs/","Peter Sefton","https://www.udemy.com/user/petersefton/","","4.4","4675","32539","1"
"https://www.udemy.com/artificial-intelligence-reinforcement-learning-in-python/","Lazy Programmer Inc.","https://www.udemy.com/user/lazy-programmer/","","4.6","16611","88186","19"
"https://www.udemy.com/data-science-deep-learning-in-python/","Lazy Programmer Inc.","https://www.udemy.com/user/lazy-programmer/","","4.6","16611","88195","19"
"https://www.udemy.com/apache-spark-with-scala-hands-on-with-big-data/","Sundog Education by Frank Kane","https://www.udemy.com/user/frankkane/","Top-responder","4.5","18898","89217","9"
"https://www.udemy.com/apache-spark-with-scala-hands-on-with-big-data/","Frank Kane","https://www.udemy.com/user/frank-kane-2/","Top-responder","4.5","18405","84526","7"
"https://www.udemy.com/natural-language-processing-with-deep-learning-in-python/","Lazy Programmer Inc.","https://www.udemy.com/user/lazy-programmer/","","4.6","16611","88172","19"
"https://www.udemy.com/python-coding/","Kirill Eremenko","https://www.udemy.com/user/kirilleremenko/","Top-responder","4.5","69120","278942","33"
"https://www.udemy.com/python-coding/","SuperDataScience Team","https://www.udemy.com/user/superdatascience-team/","Top-responder","4.5","62181","252324","22"
