"_cached_page_id","_template","_type","audience","description","requirements","url","what_will_i_learn"
"3f07577c25e99c9fb296884e1e3e90a9a5019f3f","c3c4-4117-bae5","Computer Vision A-Z Learn OpenCV GANs and Cuttin3","Anybody who wants to master stats for business analytics Anybody who wants to learn stats from the ground up Anybody who wants to get hands-on experience with stats","If you are aiming for a career as a Data Scientist or Business Analyst then brushing up on your statistics skills is something you need to do.,But it's just hard to get started... Learning / re-learning ALL of stats just seems like a daunting task.,That's exactly why I have created this course!,Here you will quickly get the absolutely essential stats knowledge for a Data Scientist or Analyst.,This is not just another boring course on stats.,This course is very practical.,I have specifically included real-world examples of business challenges to show you how you could apply this knowledge to boost YOUR career.,At the same time you will master topics such as distributions, the z-test, the Central Limit Theorem, hypothesis testing, confidence intervals, statistical significance and many more!,So what are you waiting for?,Enroll now and empower your career!","Just a basic knowledge of high school maths","https://www.udemy.com/data-statistics/","Understand what a Normal Distribution is,Understand standard deviations,Explain the difference between continuous and discrete variables,Understand what a sampling distribution is,Understand the Central Limit Theorem,Apply the Central Limit Theorem in practice,Apply Hypothesis Testing for Means,Apply Hypothesis Testing for Proportions,Use the Z-Score and Z-Tables,Use the t-Score and t-Tables,Understand the difference between a normal distribution and a t-distribution,Understand and apply statistical significance,Create confidence intervals,Understand the potential pitfalls of overusing p-Values"
"8ceeb3c3d234ef8ec92d310775c3c7debcbb384c","c3c4-4117-bae5","Computer Vision A-Z Learn OpenCV GANs and Cuttin3","Students and professionals with a technical background who want to learn Bayesian machine learning techniques to apply to their data science work","This course is all about A/B testing .,A/B testing is used everywhere. Marketing, retail, newsfeeds, online advertising, and more.,A/B testing is all about comparing things.,If you’re a data scientist, and you want to tell the rest of the company, “logo A is better than logo B”, well you can’t just say that without proving it using numbers and statistics.,Traditional A/B testing has been around for a long time, and it’s full of approximations and confusing definitions.,In this course, while we will do traditional A/B testing in order to appreciate its complexity, what we will eventually get to is the Bayesian machine learning way of doing things.,First, we’ll see if we can improve on traditional A/B testing with adaptive methods. These all help you solve the explore-exploit dilemma .,You’ll learn about the epsilon-greedy algorithm, which you may have heard about in the context of reinforcement learning .,We’ll improve upon the epsilon-greedy algorithm with a similar algorithm called UCB1.,Finally, we’ll improve on both of those by using a fully Bayesian approach.,Why is the Bayesian method interesting to us in machine learning?,It’s an entirely different way of thinking about probability.,It’s a paradigm shift.,You’ll probably need to come back to this course several times before it fully sinks in.,It’s also powerful, and many machine learning experts often make statements about how they “subscribe to the Bayesian school of thought”.,In sum - it’s going to give us a lot of powerful new tools that we can use in machine learning.,The things you’ll learn in this course are not only applicable to A/B testing, but rather, we’re using A/B testing as a concrete example of how Bayesian techniques can be applied.,You’ll learn these fundamental tools of the Bayesian method - through the example of A/B testing - and then you’ll be able to carry those Bayesian techniques to more advanced machine learning models in the future.,See you in class!,All the code for this course can be downloaded from my github: /lazyprogrammer/machine_learning_examples,In the directory: ab_testing,Make sure you always ""git pull"" so you have the latest version!,HARD PREREQUISITES / KNOWLEDGE YOU ARE ASSUMED TO HAVE:,TIPS (for getting through the course):,USEFUL COURSE ORDERING:","Probability (joint, marginal, conditional distributions, continuous and discrete random variables, PDF, PMF, CDF),Python coding with the Numpy stack","https://www.udemy.com/bayesian-machine-learning-in-python-ab-testing/","Use adaptive algorithms to improve A/B testing performance,Understand the difference between Bayesian and frequentist statistics,Apply Bayesian methods to A/B testing"
"6f5c64323273a99bd4512622e16504107bec30a4","c3c4-4117-bae5","Computer Vision A-Z Learn OpenCV GANs and Cuttin3","Students and professional computer scientists Software engineers Data scientists who work on computer vision tasks Those who want to apply deep learning to images Those who want to expand their knowledge of deep learning past vanilla deep networks People who don't know what backpropagation is or how it works should not take this course, but instead, take parts 1 and 2. People who are not comfortable with Theano and TensorFlow basics should take part 2 before taking this course.","This is the 3rd part in my Data Science and Machine Learning series on Deep Learning in Python. At this point, you already know a lot about neural networks and deep learning, including not just the basics like backpropagation, but how to improve it using modern techniques like momentum and adaptive learning rates. You've already written deep neural networks in Theano and TensorFlow , and you know how to run code using the GPU.,This course is all about how to use deep learning for computer vision using convolutional neural networks . These are the state of the art when it comes to image classification and they beat vanilla deep networks at tasks like MNIST.,In this course we are going to up the ante and look at the StreetView House Number (SVHN) dataset - which uses larger color images at various angles - so things are going to get tougher both computationally and in terms of the difficulty of the classification task. But we will show that convolutional neural networks, or CNNs, are capable of handling the challenge!,Because convolution is such a central part of this type of neural network, we are going to go in-depth on this topic. It has more applications than you might imagine, such as modeling artificial organs like the pancreas and the heart. I'm going to show you how to build convolutional filters that can be applied to audio , like the echo effect, and I'm going to show you how to build filters for image effects, like the Gaussian blur and edge detection .,We will also do some biology and talk about how convolutional neural networks have been inspired by the animal visual cortex .,After describing the architecture of a convolutional neural network, we will jump straight into code, and I will show you how to extend the deep neural networks we built last time (in part 2) with just a few new functions to turn them into CNNs. We will then test their performance and show how convolutional neural networks written in both Theano and TensorFlow can outperform the accuracy of a plain neural network on the StreetView House Number dataset.,All the materials for this course are FREE. You can download and install Python, Numpy, Scipy, Theano, and TensorFlow with simple commands shown in previous courses.,This course focuses on "" how to build and understand "", not just ""how to use"". Anyone can learn to use an API in 15 minutes after reading some documentation. It's not about ""remembering facts"", it's about ""seeing for yourself"" via experimentation . It will teach you how to visualize what's happening in the model internally. If you want more than just a superficial look at machine learning models, this course is for you.,NOTES:,All the code for this course can be downloaded from my github: /lazyprogrammer/machine_learning_examples,In the directory: cnn_class,Make sure you always ""git pull"" so you have the latest version!,HARD PREREQUISITES / KNOWLEDGE YOU ARE ASSUMED TO HAVE:,TIPS (for getting through the course):,USEFUL COURSE ORDERING:","Install Python, Numpy, Scipy, Matplotlib, Scikit Learn, Theano, and TensorFlow,Learn about backpropagation from Deep Learning in Python part 1,Learn about Theano and TensorFlow implementations of Neural Networks from Deep Learning part 2","https://www.udemy.com/deep-learning-convolutional-neural-networks-theano-tensorflow/","Understand convolution,Understand how convolution can be applied to audio effects,Understand how convolution can be applied to image effects,Implement Gaussian blur and edge detection in code,Implement a simple echo effect in code,Understand how convolution helps image classification,Understand and explain the architecture of a convolutional neural network (CNN),Implement a convolutional neural network in Theano,Implement a convolutional neural network in TensorFlow"
"9aa742ec8ce72bbfc5dc43971f8f076a57c3a26d","c3c4-4117-bae5","Computer Vision A-Z Learn OpenCV GANs and Cuttin3","Anyone interested in becoming a Data Scientist","Data Scientist has been ranked the number one job on Glassdoor and the average salary of a data scientist is over $120,000 in the United States according to Indeed! Data Science is a rewarding career that allows you to solve some of the world's most interesting problems!,This course is designed for both complete beginners with no programming experience or experienced developers looking to make the jump to Data Science!,This comprehensive course is comparable to other Data Science bootcamps that usually cost thousands of dollars, but now you can learn all that information at a fraction of the cost! With over 100 HD video lectures and detailed code notebooks for every lecture this is one of the most comprehensive course for data science and machine learning on Udemy!,We'll teach you how to program with R, how to create amazing data visualizations, and how to use Machine Learning with R! Here a just a few of the topics we will be learning:,Enroll in the course and become a data scientist today!","Computer Access with download privileges.,Basic Math Skills","https://www.udemy.com/data-science-and-machine-learning-bootcamp-with-r/","Program in R,Use R for Data Analysis,Create Data Visualizations,Use R to handle csv,excel,SQL files or web scraping,Use R to manipulate data easily,Use R for Machine Learning Algorithms,Use R for Data Science"
"1f59c5227134b9d0fa6a1ad53d357a64d64747e5","c3c4-4117-bae5","Computer Vision A-Z Learn OpenCV GANs and Cuttin3","Professionals and students with strong technical backgrounds who wish to learn state-of-the-art AI techniques","This course is all about the application of deep learning and neural networks to reinforcement learning .,If you’ve taken my first reinforcement learning class, then you know that reinforcement learning is on the bleeding edge of what we can do with AI.,Specifically, the combination of deep learning with reinforcement learning has led to AlphaGo beating a world champion in the strategy game Go, it has led to self-driving cars, and it has led to machines that can play video games at a superhuman level.,Reinforcement learning has been around since the 70s but none of this has been possible until now.,The world is changing at a very fast pace. The state of California is changing their regulations so that self-driving car companies can test their cars without a human in the car to supervise.,We’ve seen that reinforcement learning is an entirely different kind of machine learning than supervised and unsupervised learning.,Supervised and unsupervised machine learning algorithms are for analyzing and making predictions about data, whereas reinforcement learning is about training an agent to interact with an environment and maximize its reward.,Unlike supervised and unsupervised learning algorithms, reinforcement learning agents have an impetus - they want to reach a goal.,This is such a fascinating perspective, it can even make supervised / unsupervised machine learning and "" data science "" seem boring in hindsight. Why train a neural network to learn about the data in a database, when you can train a neural network to interact with the real-world?,While deep reinforcement learning and AI has a lot of potential, it also carries with it huge risk.,Bill Gates and Elon Musk have made public statements about some of the risks that AI poses to economic stability and even our existence.,As we learned in my first reinforcement learning course, one of the main principles of training reinforcement learning agents is that there are unintended consequences when training an AI.,AIs don’t think like humans, and so they come up with novel and non-intuitive solutions to reach their goals, often in ways that surprise domain experts - humans who are the best at what they do.,OpenAI is a non-profit founded by Elon Musk, Sam Altman (Y Combinator), and others, in order to ensure that AI progresses in a way that is beneficial, rather than harmful.,Part of the motivation behind OpenAI is the existential risk that AI poses to humans. They believe that open collaboration is one of the keys to mitigating that risk.,One of the great things about OpenAI is that they have a platform called the OpenAI Gym , which we’ll be making heavy use of in this course.,It allows anyone, anywhere in the world, to train their reinforcement learning agents in standard environments.,In this course, we’ll build upon what we did in the last course by working with more complex environments, specifically, those provided by the OpenAI Gym:,To train effective learning agents, we’ll need new techniques.,We’ll extend our knowledge of temporal difference learning by looking at the TD Lambda algorithm, we’ll look at a special type of neural network called the RBF network, we’ll look at the policy gradient method, and we’ll end the course by looking at Deep Q-Learning.,Thanks for reading, and I’ll see you in class!,NOTES:,All the code for this course can be downloaded from my github:,/lazyprogrammer/machine_learning_examples,In the directory: rl2,Make sure you always ""git pull"" so you have the latest version!,HARD PREREQUISITES / KNOWLEDGE YOU ARE ASSUMED TO HAVE:,TIPS (for getting through the course):,USEFUL COURSE ORDERING:","Know reinforcement learning basics, MDPs, Dynamic Programming, Monte Carlo, TD Learning,Calculus and probability at the undergraduate level,Experience building machine learning models in Python and Numpy,Know how to build a feedforward, convolutional, and recurrent neural network using Theano and Tensorflow","https://www.udemy.com/deep-reinforcement-learning-in-python/","Build various deep learning agents,Apply a variety of advanced reinforcement learning algorithms to any problem,Q-Learning with Deep Neural Networks,Policy Gradient Methods with Neural Networks,Reinforcement Learning with RBF Networks,Use Convolutional Neural Networks with Deep Q-Learning"
"658accdacd86aeb1952aea587d9662baa6b04421","c3c4-4117-bae5","Computer Vision A-Z Learn OpenCV GANs and Cuttin3","This course if for you if you want to learn how to program in Python This course is for you if you are tired of Python courses that are too complicated This course is for you if you want to learn Python by doing This course is for you if you like exciting challenges You WILL have homework in this course so you have to be prepared to work on it","Learn Python Programming by doing!,There are lots of Python courses and lectures out there. However, Python has a very steep learning curve and students often get overwhelmed. This course is different!,This course is truly step-by-step. In every new tutorial we build on what had already learned and move one extra step forward.,After every video you learn a new valuable concept that you can apply right away. And the best part is that you learn through live examples.,This training is packed with real-life analytical challenges which you will learn to solve. Some of these we will solve together, some you will have as homework exercises.,In summary, this course has been designed for all skill levels and even if you have no programming or statistical background you will be successful in this course!,I can't wait to see you in class,,Sincerely,,Kirill Eremenko","No prior knowledge or experience needed. Only a passion to be successful!","https://www.udemy.com/python-coding/","Learn to program in Python at a good level,Learn how to code in Jupiter Notebooks,Learn the core principles of programming,Learn how to create variables,Learn about integer, float, logical, string and other types in Python,Learn how to create a while() loop and a for() loop in Python,Learn how to install packages in Python,Understand the Law of Large Numbers"
"fc971c39e8f604782cac8ef0247fc6f8b82a18db","c3c4-4117-bae5","Computer Vision A-Z Learn OpenCV GANs and Cuttin3","Students and professionals who want to create word vector representations for various NLP tasks Students and professionals who are interested in state-of-the-art neural network architectures like recursive neural networks SHOULD NOT: Anyone who is not comfortable with the prerequisites.","In this course we are going to look at advanced NLP.,Previously, you learned about some of the basics, like how many NLP problems are just regular machine learning and data science problems in disguise, and simple, practical methods like bag-of-words and term-document matrices.,These allowed us to do some pretty cool things, like detect spam emails, write poetry , spin articles , and group together similar words.,In this course I’m going to show you how to do even more awesome things. We’ll learn not just 1, but 4 new architectures in this course.,First up is word2vec .,In this course, I’m going to show you exactly how word2vec works, from theory to implementation, and you’ll see that it’s merely the application of skills you already know.,Word2vec is interesting because it magically maps words to a vector space where you can find analogies, like:,We are also going to look at the GLoVe method, which also finds word vectors, but uses a technique called matrix factorization , which is a popular algorithm for recommender systems .,Amazingly, the word vectors produced by GLoVe are just as good as the ones produced by word2vec, and it’s way easier to train.,We will also look at some classical NLP problems, like parts-of-speech tagging and named entity recognition , and use recurrent neural networks to solve them. You’ll see that just about any problem can be solved using neural networks, but you’ll also learn the dangers of having too much complexity.,Lastly, you’ll learn about recursive neural networks , which finally help us solve the problem of negation in sentiment analysis . Recursive neural networks exploit the fact that sentences have a tree structure, and we can finally get away from naively using bag-of-words.,All of the materials required for this course can be downloaded and installed for FREE. We will do most of our work in Numpy, Matplotlib , and Theano . I am always available to answer your questions and help you along your data science journey.,This course focuses on "" how to build and understand "", not just ""how to use"". Anyone can learn to use an API in 15 minutes after reading some documentation. It's not about ""remembering facts"", it's about ""seeing for yourself"" via experimentation . It will teach you how to visualize what's happening in the model internally. If you want more than just a superficial look at machine learning models, this course is for you.,See you in class!,NOTES:,All the code for this course can be downloaded from my github: /lazyprogrammer/machine_learning_examples,In the directory: nlp_class2,Make sure you always ""git pull"" so you have the latest version!,TIPS (for getting through the course):,USEFUL COURSE ORDERING:,HARD PREREQUISITES / KNOWLEDGE YOU ARE ASSUMED TO HAVE:","Install Numpy, Matplotlib, Sci-Kit Learn, Theano, and TensorFlow (should be extremely easy by now),Understand backpropagation and gradient descent, be able to derive and code the equations on your own,Code a recurrent neural network from basic primitives in Theano (or Tensorflow), especially the scan function,Code a feedforward neural network in Theano (or Tensorflow),Helpful to have experience with tree algorithms","https://www.udemy.com/natural-language-processing-with-deep-learning-in-python/","Understand and implement word2vec,Understand the CBOW method in word2vec,Understand the skip-gram method in word2vec,Understand the negative sampling optimization in word2vec,Understand and implement GLoVe using gradient descent and alternating least squares,Use recurrent neural networks for parts-of-speech tagging,Use recurrent neural networks for named entity recognition,Understand and implement recursive neural networks for sentiment analysis,Understand and implement recursive neural tensor networks for sentiment analysis"
"9ed50fca492eaf36ec285d4047daf597792b9aed","c3c4-4117-bae5","Computer Vision A-Z Learn OpenCV GANs and Cuttin3","Software engineers who want to expand their skills into the world of big data processing on a cluster If you have no previous programming or scripting experience, you'll want to take an introductory programming course first.","New! Updated for Spark 2.0.0.,“Big data"" analysis is a hot and highly valuable skill – and this course will teach you the hottest technology in big data: Apache Spark . Employers including Amazon , EBay , NASA JPL , and Yahoo all use Spark to quickly extract meaning from massive data sets across a fault-tolerant Hadoop cluster. You'll learn those same techniques, using your own Windows system right at home. It's easier than you might think, and you'll be learning from an ex-engineer and senior manager from Amazon and IMDb.,Spark works best when using the Scala programming language, and this course includes a crash-course in Scala to get you up to speed quickly. For those more familiar with Python however, a Python version of this class is also available: ""Taming Big Data with Apache Spark and Python - Hands On"".,Learn and master the art of framing data analysis problems as Spark problems through over 20 hands-on examples , and then scale them up to run on cloud computing services in this course.,By the end of this course, you'll be running code that analyzes gigabytes worth of information – in the cloud – in a matter of minutes.,We'll have some fun along the way. You'll get warmed up with some simple examples of using Spark to analyze movie ratings data and text in a book. Once you've got the basics under your belt, we'll move to some more complex and interesting tasks. We'll use a million movie ratings to find movies that are similar to each other, and you might even discover some new movies you might like in the process! We'll analyze a social graph of superheroes, and learn who the most “popular"" superhero is – and develop a system to find “degrees of separation"" between superheroes. Are all Marvel superheroes within a few degrees of being connected to SpiderMan? You'll find the answer.,This course is very hands-on; you'll spend most of your time following along with the instructor as we write, analyze, and run real code together – both on your own system, and in the cloud using Amazon's Elastic MapReduce service. 7.5 hours of video content is included, with over 20 real examples of increasing complexity you can build, run and study yourself. Move through them at your own pace, on your own schedule. The course wraps up with an overview of other Spark-based technologies, including Spark SQL, Spark Streaming, and GraphX.,Enjoy the course!","Some prior programming or scripting experience is required. A crash course in Scala is included, but you need to know the fundamentals of programming in order to pick it up.,You will need a desktop PC and an Internet connection. The course is created with Windows in mind, but users comfortable with MacOS or Linux can use the same tools.,The software needed for this course is freely available, and I'll walk you through downloading and installing it.","https://www.udemy.com/apache-spark-with-scala-hands-on-with-big-data/","Frame big data analysis problems as Apache Spark scripts,Develop distributed code using the Scala programming language,Optimize Spark jobs through partitioning, caching, and other techniques,Build, deploy, and run Spark scripts on Hadoop clusters,Process continual streams of data with Spark Streaming,Transform structured data using SparkSQL and DataFrames,Traverse and analyze graph structures using GraphX"
"a039799148a90e4d48c2f4b9b5e53137de774e9f","c3c4-4117-bae5","Computer Vision A-Z Learn OpenCV GANs and Cuttin3","Students interested in machine learning - you'll get all the tidbits you need to do well in a neural networks course Professionals who want to use neural networks in their machine learning and data science pipeline. Be able to apply more powerful models, and know its drawbacks. People who already know how to take partial derivatives and log-likelihoods. Since we cover this in more detail in my logistic regression class, it is not covered quite as thoroughly here. People who already know how to code in Python and Numpy. You will need some familiarity because we go through it quite fast. Don't worry, it's not that hard.","This course will get you started in building your FIRST artificial neural network using deep learning techniques. Following my previous course on logistic regression, we take this basic building block, and build full-on non-linear neural networks right out of the gate using Python and Numpy. All the materials for this course are FREE.,We extend the previous binary classification model to multiple classes using the softmax function, and we derive the very important training method called "" backpropagation "" using first principles. I show you how to code backpropagation in Numpy, first ""the slow way"", and then ""the fast way"" using Numpy features.,Next, we implement a neural network using Google's new TensorFlow library.,You should take this course if you are interested in starting your journey toward becoming a master at deep learning, or if you are interested in machine learning and data science in general. We go beyond basic models like logistic regression and linear regression and I show you something that automatically learns features .,This course provides you with many practical examples so that you can really see how deep learning can be used on anything. Throughout the course, we'll do a course project, which will show you how to predict user actions on a website given user data like whether or not that user is on a mobile device, the number of products they viewed, how long they stayed on your site, whether or not they are a returning visitor, and what time of day they visited.,Another project at the end of the course shows you how you can use deep learning for facial expression recognition. Imagine being able to predict someone's emotions just based on a picture!,After getting your feet wet with the fundamentals, I provide a brief overview of some of the newest developments in neural networks - slightly modified architectures and what they are used for.,NOTE:,If you already know about softmax and backpropagation, and you want to skip over the theory and speed things up using more advanced techniques along with GPU-optimization, check out my follow-up course on this topic, Data Science: Practical Deep Learning Concepts in Theano and TensorFlow .,I have other courses that cover more advanced topics, such as Convolutional Neural Networks , Restricted Boltzmann Machines , Autoencoders , and more! But you want to be very comfortable with the material in this course before moving on to more advanced subjects.,This course focuses on "" how to build and understand "", not just ""how to use"". Anyone can learn to use an API in 15 minutes after reading some documentation. It's not about ""remembering facts"", it's about ""seeing for yourself"" via experimentation . It will teach you how to visualize what's happening in the model internally. If you want more than just a superficial look at machine learning models, this course is for you.,All the code for this course can be downloaded from my github: /lazyprogrammer/machine_learning_examples,In the directory: ann_class,Make sure you always ""git pull"" so you have the latest version!,HARD PREREQUISITES / KNOWLEDGE YOU ARE ASSUMED TO HAVE:,TIPS (for getting through the course):,USEFUL COURSE ORDERING:","How to take partial derivatives and log-likelihoods (ex. finding the maximum likelihood estimations for a die),Install Numpy and Python (approx. latest version of Numpy as of Jan 2016),Don't worry about installing TensorFlow, we will do that in the lectures.,Being familiar with the content of my logistic regression course (cross-entropy cost, gradient descent, neurons, XOR, donut) will give you the proper context for this course","https://www.udemy.com/data-science-deep-learning-in-python/","Code a neural network from scratch in Python and numpy,Code a neural network using Google's TensorFlow,Describe the various terms related to neural networks, such as ""activation"", ""backpropagation"" and ""feedforward"",Describe different types of neural networks and the different types of problems they are used for,Derive the backpropagation rule from first principles,Create a neural network with an output that has K > 2 classes using softmax,Install TensorFlow"
"c17621a7316f17cd7dcc949baea24c42d935250d","c3c4-4117-bae5","Computer Vision A-Z Learn OpenCV GANs and Cuttin3","Anyone who wants to learn about artificial intelligence, data science, machine learning, and deep learning Both students and professionals","When people talk about artificial intelligence , they usually don’t mean supervised and unsupervised machine learning .,These tasks are pretty trivial compared to what we think of AIs doing - playing chess and Go, driving cars, and beating video games at a superhuman level.,Reinforcement learning has recently become popular for doing all of that and more.,Much like deep learning , a lot of the theory was discovered in the 70s and 80s but it hasn’t been until recently that we’ve been able to observe first hand the amazing results that are possible.,In 2016 we saw Google’s AlphaGo beat the world Champion in Go.,We saw AIs playing video games like Doom and Super Mario.,Self-driving cars have started driving on real roads with other drivers and even carrying passengers ( Uber ), all without human assistance.,If that sounds amazing, brace yourself for the future because the law of accelerating returns dictates that this progress is only going to continue to increase exponentially.,Learning about supervised and unsupervised machine learning is no small feat. To date I have over SIXTEEN (16!) courses just on those topics alone.,And yet reinforcement learning opens up a whole new world. As you’ll learn in this course, the reinforcement learning paradigm is more different from supervised and unsupervised learning than they are from each other.,It’s led to new and amazing insights both in behavioral psychology and neuroscience. As you’ll learn in this course, there are many analogous processes when it comes to teaching an agent and teaching an animal or even a human. It’s the closest thing we have so far to a true general artificial intelligence.,What’s covered in this course?,If you’re ready to take on a brand new challenge, and learn about AI techniques that you’ve never seen before in traditional supervised machine learning, unsupervised machine learning, or even deep learning, then this course is for you.,See you in class!,NOTES:,All the code for this course can be downloaded from my github:,/lazyprogrammer/machine_learning_examples,In the directory: rl,Make sure you always ""git pull"" so you have the latest version!,HARD PREREQUISITES / KNOWLEDGE YOU ARE ASSUMED TO HAVE:,TIPS (for getting through the course):,USEFUL COURSE ORDERING:","Calculus,Probability,Markov Models,The Numpy Stack,Have experience with at least a few supervised machine learning methods,Gradient descent,Good object-oriented programming skills","https://www.udemy.com/artificial-intelligence-reinforcement-learning-in-python/","Apply gradient-based supervised machine learning methods to reinforcement learning,Understand reinforcement learning on a technical level,Understand the relationship between reinforcement learning and psychology,Implement 17 different reinforcement learning algorithms"
